,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
130,7353 ,4,3,2,3,1,0,1,0,2.6,0,0,1,0,0,0,0,0,0,0
131,4717 ,3,2,2,3,0,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
132,4527 ,3,2,2,3,1,1,2,0,1.7,0,0,0,0,0,1,0,0,0,0
133,7048 ,3,2,2,3,1,0,0,0,2.6,0,0,0,0,0,1,0,0,0,0
134,4854 ,3,2,2,3,0,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
135,7547 ,3,2,2,3,1,1,2,1,1.8,0,0,0,0,0,0,1,0,0,0
136,13542 ,3,2,2,2,1,1,1,0,1.4,0,0,0,0,0,1,0,0,0,0
137,6290 ,4,2,2,3,1,2,1,0,2.3,0,0,0,0,0,1,0,0,0,0
138,5500 ,3,2,2,3,1,1,2,1,1.8,0,0,0,0,0,0,1,0,0,0
139,12008 ,6,2,5,5,0,1,1,0,2.2,0,0,0,0,0,1,0,0,0,0
140,4250 ,3,2,2,2,0,2,1,1,1.7,0,0,1,0,0,0,0,0,0,0
141,11446 ,3,2,2,2,1,0,0,0,1.9,1,0,0,0,0,0,0,0,0,0
142,12573 ,3,2,1,2,1,0,1,1,2.8,0,0,0,0,0,1,0,0,0,0
143,12887 ,3,2,2,2,1,0,1,1,3.1,0,0,0,0,0,0,1,0,0,0
144,10390 ,2,2,1,2,1,0,0,0,2.8,0,0,0,0,0,1,0,0,0,0
145,4400 ,3,2,2,2,0,1,1,1,2.6,0,0,0,0,0,0,1,0,0,0
146,11364 ,3,2,2,3,1,1,1,1,2.7,0,0,0,0,0,0,1,0,0,0
147,3900 ,3,3,3,3,1,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
148,4089 ,3,2,2,2,0,1,1,1,1.4,0,0,1,0,0,0,0,0,0,0
149,10606 ,3,2,2,2,1,0,1,1,4.2,0,0,0,0,0,1,0,0,0,0
150,5339 ,3,2,2,3,1,2,2,1,2.1,0,0,0,0,0,0,1,0,0,0
151,2893 ,3,2,2,3,1,1,2,1,2.3,0,0,0,0,0,1,0,0,0,0
152,7421 ,4,2,2,4,1,2,2,1,1.9,0,0,0,0,0,0,1,0,0,0
153,10521 ,3,2,2,2,1,0,0,0,4.2,0,0,0,0,0,1,0,0,0,0
154,7273 ,3,2,2,2,1,1,2,1,2.7,0,0,0,0,0,1,0,0,0,0
155,11236 ,2,2,1,2,1,1,1,0,1.4,0,0,0,0,0,1,0,0,0,0
156,12887 ,2,2,1,2,1,2,2,1,1.8,0,0,0,0,0,0,1,0,0,0
157,9524 ,3,2,2,3,1,0,1,0,4.2,0,0,0,0,0,1,0,0,0,0
158,11071 ,7,3,6,5,0,0,0,0,1.6,0,0,0,0,0,0,1,0,0,0
159,3774 ,3,2,2,3,0,0,2,1,1.7,0,0,0,0,0,1,0,0,0,0
160,10037 ,3,2,2,2,1,0,1,0,3.5,0,0,0,0,1,0,0,0,0,0
161,12841 ,3,2,1,2,1,1,1,0,2.8,0,0,0,0,0,0,1,0,0,0
162,10497 ,3,2,3,4,0,1,1,0,2.3,0,0,0,0,0,0,1,0,0,0
163,12937 ,3,2,2,3,1,0,1,1,2.4,0,0,0,0,0,0,1,0,0,0
164,9517 ,3,2,2,3,1,0,2,0,2.2,0,0,1,0,0,0,0,0,0,0
165,7436 ,1,1,1,1,1,2,0,0,1.8,0,0,0,0,0,1,0,0,0,0
166,12766 ,3,2,2,3,1,1,1,1,1.9,0,0,0,0,0,1,0,0,0,0
167,9738 ,4,2,2,3,1,2,1,0,3.7,0,0,0,0,0,0,1,0,0,0
168,7500 ,1,1,1,1,1,1,0,0,1.8,0,0,0,0,0,1,0,0,0,0
169,5200 ,3,2,2,3,1,2,1,1,1.6,0,0,0,0,0,1,0,0,0,0
170,3788 ,2,1,1,2,0,0,2,1,1.9,0,0,0,0,1,0,0,0,0,0
171,11342 ,2,2,2,2,1,1,2,0,2.3,0,0,0,0,0,0,1,0,0,0
172,4216 ,3,2,2,3,0,1,1,0,1.6,0,0,0,0,0,0,1,0,0,0
173,9263 ,3,2,2,2,1,1,1,0,2.7,0,0,0,0,0,0,1,0,0,0
174,3938 ,5,2,2,4,0,1,2,1,1.6,0,0,0,0,0,0,1,0,0,0
175,4680 ,3,2,1,3,0,1,1,0,1.3,0,0,0,0,0,0,1,0,0,0
176,4429 ,3,1,1,2,1,1,2,1,1.4,0,0,0,0,0,1,0,0,0,0
177,9588 ,3,2,2,2,1,1,0,0,2.3,0,0,0,0,0,1,0,0,0,0
178,12000 ,1,1,1,2,0,0,0,1,2.4,0,0,0,0,0,1,0,0,0,0
179,5859 ,3,2,2,3,1,0,2,1,1.6,0,0,0,0,0,0,0,0,0,1
180,12448 ,3,2,2,2,1,0,1,0,2.8,0,0,0,0,0,1,0,0,0,0
181,4528 ,2,1,1,2,1,1,2,1,1.0,0,0,0,0,0,1,0,0,0,0
182,5476 ,3,2,2,2,1,1,2,1,2.5,0,0,0,0,0,1,0,0,0,0
183,10112 ,3,2,2,2,1,1,1,0,2.3,0,0,1,0,0,0,0,0,0,0
184,4733 ,3,2,3,3,1,1,2,1,1.8,0,0,0,0,0,1,0,0,0,0
185,10000 ,3,2,2,2,1,1,1,0,2.3,0,0,0,0,0,1,0,0,0,0
186,5000 ,2,2,1,2,0,1,2,1,2.0,0,0,0,0,0,1,0,0,0,0
187,10208 ,3,2,2,2,1,0,1,0,2.3,0,0,0,0,0,1,0,0,0,0
188,6735 ,3,2,2,2,1,1,0,1,1.5,0,0,0,0,0,0,1,0,0,0
189,9794 ,3,2,2,2,1,1,2,1,2.6,0,0,0,0,0,1,0,0,0,0
190,10115 ,1,0,1,1,1,1,2,0,2.4,1,0,0,0,0,0,0,0,0,0
191,10400 ,4,2,2,3,1,0,1,1,4.2,0,0,0,0,0,0,1,0,0,0
192,6644 ,2,2,1,2,1,1,1,0,2.3,0,0,0,1,0,0,0,0,0,0
193,6667 ,3,2,1,2,1,1,2,1,2.2,0,0,0,0,0,0,1,0,0,0
194,14684 ,6,2,4,5,0,0,1,1,1.8,0,0,0,0,0,0,1,0,0,0
195,5344 ,2,2,1,2,1,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
196,6739 ,3,2,2,2,1,0,0,0,2.6,0,0,0,0,0,1,0,0,0,0
197,4578 ,3,2,2,2,1,1,2,1,1.8,0,0,0,0,0,1,0,0,0,0
198,5114 ,2,2,1,2,0,1,2,1,2.3,0,0,0,0,0,1,0,0,0,0
199,4167 ,3,2,2,2,0,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
200,13054 ,2,2,1,2,1,1,1,0,2.2,0,0,0,0,0,1,0,0,0,0
201,9785 ,3,2,2,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
202,7611 ,3,2,1,2,1,2,1,0,2.1,0,0,0,0,0,0,1,0,0,0
203,9945 ,3,2,1,2,1,0,2,0,3.5,0,0,0,0,0,1,0,0,0,0
204,8958 ,3,2,2,2,1,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
205,5500 ,3,2,2,3,0,2,2,1,2.6,0,0,0,0,0,0,1,0,0,0
206,6271 ,3,2,2,2,1,2,2,1,2.8,0,0,0,0,0,1,0,0,0,0
207,10361 ,2,2,1,2,1,1,1,0,2.4,0,0,0,0,1,0,0,0,0,0
208,10970 ,4,2,4,4,1,1,1,0,1.6,0,0,0,0,1,0,0,0,0,0
209,11340 ,3,2,1,2,1,1,2,1,2.4,0,0,0,0,0,0,1,0,0,0
210,6882 ,3,2,2,2,1,1,0,1,1.7,0,0,0,0,0,1,0,0,0,0
211,9309 ,4,2,2,3,1,0,0,1,3.0,0,0,0,0,0,1,0,0,0,0
212,13222 ,3,2,1,2,1,0,1,1,3.7,0,0,0,0,0,1,0,0,0,0
213,6522 ,3,2,2,3,1,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
214,7339 ,3,2,2,3,1,1,0,1,3.8,0,0,0,0,0,1,0,0,0,0
215,11010 ,2,2,1,2,1,0,1,0,2.5,0,0,0,0,0,1,0,0,0,0
216,6452 ,3,2,2,2,0,1,2,1,2.4,0,0,0,0,0,1,0,0,0,0
217,7587 ,3,2,4,3,0,2,2,0,2.5,0,0,0,0,0,1,0,0,0,0
218,10000 ,3,2,2,3,1,0,1,1,2.5,0,0,0,0,0,0,1,0,0,0
219,14205 ,3,2,2,2,1,1,1,1,3.0,0,0,1,0,0,0,0,0,0,0
220,5500 ,3,2,2,3,1,1,2,1,1.8,0,0,0,0,0,0,1,0,0,0
221,15102 ,3,2,2,2,1,1,1,1,3.1,0,0,1,0,0,0,0,0,0,0
222,14831 ,3,2,2,2,1,1,1,0,3.6,0,0,0,0,0,0,1,0,0,0
223,4467 ,2,1,1,2,0,0,1,0,2.2,0,0,0,0,0,0,1,0,0,0
224,5294 ,3,1,1,2,1,1,2,0,1.8,0,0,0,0,0,1,0,0,0,0
225,14538 ,4,2,2,3,1,2,1,0,1.9,0,0,0,0,0,1,0,0,0,0
226,6909 ,3,2,2,3,1,0,1,1,1.6,0,0,0,0,0,0,1,0,0,0
227,8333 ,4,2,3,3,0,1,2,1,2.1,0,0,0,0,0,0,1,0,0,0
228,11845 ,3,2,2,3,1,0,1,1,2.8,0,0,0,0,0,1,0,0,0,0
229,6000 ,3,2,2,3,1,2,1,0,1.5,0,0,0,0,0,0,1,0,0,0
230,12778 ,2,2,1,2,1,1,1,0,2.4,0,0,0,0,0,1,0,0,0,0
231,12075 ,3,2,2,3,1,1,1,0,2.5,0,0,0,0,0,0,1,0,0,0
232,12937 ,3,2,2,3,1,0,1,1,2.4,0,0,0,0,0,0,1,0,0,0
233,3774 ,3,2,2,3,0,0,2,1,1.7,0,0,0,0,0,1,0,0,0,0
234,6316 ,3,2,2,2,1,1,1,0,1.3,0,0,0,0,0,1,0,0,0,0
235,11200 ,2,2,2,2,1,1,1,1,2.2,1,0,0,0,0,0,0,0,0,0
236,11972 ,4,2,2,3,1,0,1,0,3.6,0,0,0,0,0,1,0,0,0,0
237,11405 ,3,2,2,3,1,1,1,0,2.8,0,0,0,0,0,0,0,1,0,0
238,6250 ,1,1,1,1,1,1,1,1,1.8,1,0,0,0,0,0,0,0,0,0
239,10263 ,3,2,1,2,1,0,1,0,2.7,0,0,0,0,0,1,0,0,0,0
240,9490 ,3,2,2,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
241,4000 ,3,2,2,2,0,2,2,1,1.4,0,0,0,0,0,0,1,0,0,0
